ID;name;email;role;manager_ID;gender
emp1;Alice Employee;alice@corp.com;Employee;emp2;F
raihan.siddiqui31@gmail.com;Bob Manager;bob.manager@corp.com;Manager;emp3;M
emp3;Charlie Admin;admin@corp.com;Admin;emp4;M
emp4;Dane Employee;dane@corp.com;Employee;emp3;M
emp5;Diana Employee;diana@corp.com;Employee;emp2;F
emp6;Eve Employee;eve@corp.com;Employee;emp2;F
emp7;Frank Employee;frank@corp.com;Employee;emp2;M
emp8;Grace Employee;grace@corp.com;Employee;emp2;F
emp9;Hank Employee;hank@corp.com;Employee;emp2;M
emp10;Ivy Employee;ivy@corp.com;Employee;emp2;F
